text,topic,type,Predicted
"The case made by Geoffrey Skelley and Nathaniel Rakich was simple: Supposedly Americans strongly prefer Biden and Democrats over Trump and Republicans, and they are particularly upset with Trump and other Republicans’ attempts to reopen the country as the global Coronavirus pandemic rages.",elections-2020,right,NEUTRAL
"As proof of the racism still inherent in the gay community, Brown pointed to the negative reaction from gay men on social media to moves from dating apps including Grindr this week to remove ethnicity filters in a bid to tackle racism.",blm,,BIASED
"Fueled by a wave of youthful activists, including many Jews aligning with Muslims, criticism of Israel's policies toward the Palestinians has grown in volume and scope, with persistent calls for boycotts and disinvestment.",international-politics-and-world-news,right,BIASED
"The beauty routine for prominent women who work and live under the eye of a camera can include not just haircuts, but hair color, highlights, lowlights, Keratin treatments, blowouts, braids, manicures, pedicures, facials, eyebrow waxes, eyelash extensions.",gender,left,BIASED
"By Monday morning he was considering a dramatic move — invoking the Insurrection Act so that he could use federal troops to enforce the law. According to a senior defense official, Trump wanted 10,000 federal troops immediately on the streets to control a situation some aides believed could escalate dangerously.",trump-presidency,right,BIASED
How can God heal our land and forgive the sins when abortion and same-sex marriage are laws and many people are anti-Israel.,marriage-equality,,NEUTRAL
"n Dr. King's day, that other America was, for a time, laid bare to the nation through mass social unrest and political change, through the bold actions of the freedom fighters who won the Voting Rights Act and then just kept on fighting, as well as governmental programs like the ""War on Poverty.""",black lives matter,left,NEUTRAL
"Reilly also suggested that Trump’s “grudge” against Puerto Rico correlates with a soured golf course deal on the island, and explained why the sport may be responsible for Trump’s embrace of a wild conspiracy theory about wind turbines causing cancer.",environment,left,NEUTRAL
Cable news is poison.,marriage-equality,,NEUTRAL
Here's how Trump is grifting the pandemic to give the rich another big tax cut,taxes,left,NEUTRAL
Protesters also burned smaller American flags on the embers of the larger one a day after demonstrators defaced and attempted to pull down an Andrew Jackson statue in Lafayette Park.,marriage-equality,,BIASED
Migrants in the United States sent about $103 billion in mostly untaxed remittances to six foreign countries last year — including about $19 billion to China.,taxes,right,BIASED
"While the threat of anti-trans bills being passed into law is real and present, all such legislation will almost certainly be challenged in the courts immediately upon passing or before it can be fully implemented.",marriage-equality,,NEUTRAL
"The Clinton plan won’t work because it’s a progressive, liberal, quasi-socialist plan applied to something that should operate like a business within a free market",student-debt,right,NEUTRAL
"The sentence, which was expected because the state does not employ the death penalty, was given by Erie County Court Judge Susan Eagan.",gun-control,,BIASED
"Rep. Alexandria Ocasio-Cortez (D-NY) slammed billionaire Jeff Bezos, the richest man in the world and owner of the Washington Post, for paying his employees what she called “starvation wages.”",middle-class,right,NEUTRAL
"Like fellow Republican and Florida Gov. Ron DeSantis, Texas Gov. Greg Abbott has found a way to thumb his nose at Democrats: sending migrants to northern U.S. states — a political stunt that, critics say, recalls southern segregationists of the 1950s and 1960s who would send busses of African-Americans to New York City, Philadelphia or Boston to live.",immigration,,NEUTRAL
"In their articles of impeachment here , Democrats charge that Trump abused his power as president by pressuring the government of Ukraine to help him win re-election. They accuse the president of endangering the U.S. Constitution, jeopardizing national security and undermining the integrity of the 2020 election.",trump-presidency,center,BIASED
"Before President Donald Trump threatened to violently suppress demonstrations in memory of Floyd, before the spread of recording equipment let the world witness how U.S. police brutalize non-white bodies and before “I can’t breathe” became a global rallying cry challenging American cruelty and injustice, America tried to explain its racism to the world.",trump-presidency,left,NEUTRAL
